                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.2426,                0.75242,                 0.9835,                0.69429,                0.38028,                0.43177,                0.23001,                 1.3451,                0.81484,                 1.0049,              0.0061885,              0.0061885,              0.0061885
                     79,                  1.247,                0.75096,                0.97832,                0.67437,                0.39483,                0.43765,                0.23428,                 1.3416,                0.81073,                 1.0014,               0.006139,               0.006139,               0.006139
                     80,                 1.2413,                0.74672,                0.98327,                0.64252,                0.39139,                0.43407,                0.23326,                 1.3358,                0.81119,                 1.0001,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.2479,                0.75468,                0.98317,                0.66836,                0.40453,                0.43986,                0.23931,                 1.3353,                 0.8089,                  1.003,                0.00604,                0.00604,                0.00604
                     82,                 1.2378,                0.74397,                 0.9805,                 0.6609,                0.40024,                0.43636,                0.23924,                 1.3357,                0.80757,                 1.0003,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2312,                0.74015,                0.97471,                0.65301,                0.39779,                0.42967,                0.23164,                  1.334,                0.81225,                 1.0041,               0.005941,               0.005941,               0.005941
                     84,                 1.2406,                0.74084,                0.97792,                0.64508,                0.38959,                 0.4232,                0.22918,                 1.3326,                0.80837,                 1.0007,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2343,                0.73918,                0.97781,                0.62506,                0.39403,                0.42624,                0.22844,                 1.3426,                0.80833,                  1.001,               0.005842,               0.005842,               0.005842
                     86,                 1.2309,                0.74014,                0.97308,                0.67597,                 0.3977,                0.43209,                0.23776,                  1.337,                0.80678,                 1.0004,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2294,                  0.732,                0.97525,                 0.6545,                0.40614,                0.43783,                0.23699,                  1.337,                 0.8078,                 1.0016,               0.005743,               0.005743,               0.005743
                     88,                 1.2232,                0.72953,                0.97525,                0.63515,                0.40133,                0.42552,                0.22917,                 1.3402,                0.80923,                 1.0047,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2288,                0.73588,                0.97495,                0.67026,                0.40036,                0.44009,                0.23849,                 1.3315,                0.80175,                 1.0003,               0.005644,               0.005644,               0.005644
                     90,                 1.2339,                0.73525,                0.97508,                0.64554,                0.40026,                0.43122,                0.23699,                 1.3349,                0.80563,                0.99905,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2296,                0.73364,                0.97658,                0.54398,                0.40772,                0.43687,                0.23862,                 1.3391,                0.80601,                 1.0021,               0.005545,               0.005545,               0.005545
                     92,                 1.2249,                0.73053,                0.97425,                0.64102,                0.39641,                0.42751,                0.23516,                 1.3337,                 0.8058,                0.99871,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2191,                 0.7253,                0.97549,                0.65304,                0.39538,                0.42539,                0.23481,                 1.3293,                 0.8041,                0.99744,               0.005446,               0.005446,               0.005446
                     94,                 1.2191,                0.71976,                0.97073,                0.65995,                0.39905,                0.42994,                0.23718,                 1.3305,                0.80098,                0.99754,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2081,                0.71696,                 0.9693,                0.67279,                0.40515,                0.44834,                0.24177,                 1.3335,                 0.8015,                 1.0027,               0.005347,               0.005347,               0.005347
                     96,                  1.219,                0.72365,                0.96993,                0.65345,                 0.4007,                0.43563,                0.23729,                 1.3355,                0.80614,                 1.0037,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2134,                 0.7207,                 0.9674,                0.66789,                0.39658,                 0.4351,                0.23566,                 1.3363,                0.80389,                0.99771,               0.005248,               0.005248,               0.005248
                     98,                 1.2143,                0.72101,                0.96954,                0.63898,                0.39956,                0.43148,                0.23712,                 1.3356,                0.80484,                 1.0023,              0.0051985,              0.0051985,              0.0051985
